Starting the logger (C:\Users\jose.cardenas\AppData\Local\Android\Sdk/platform-tools/adb logcat *:S ReactNative:V ReactNativeJS:V)...
--------- beginning of main
--------- beginning of system
11-13 17:48:30.230  3138  3162 D ReactNative: ReactInstanceManager.createReactContext()
11-13 17:48:30.290  3138  3162 D ReactNative: Initializing React Xplat Bridge.
11-13 17:48:30.292  3138  3162 D ReactNative: Initializing React Xplat Bridge before initializeBridge
11-13 17:48:30.297  3138  3162 D ReactNative: Initializing React Xplat Bridge after initializeBridge
11-13 17:48:30.297  3138  3162 D ReactNative: CatalystInstanceImpl.runJSBundle()
11-13 17:48:30.297  3138  3166 D ReactNative: ReactInstanceManager.setupReactContext()
11-13 17:48:30.297  3138  3166 D ReactNative: CatalystInstanceImpl.initialize()
11-13 17:48:30.298  3138  3166 D ReactNative: ReactInstanceManager.attachRootViewToInstance()
11-13 17:48:30.681  3138  3165 I ReactNativeJS: Running application "ReduxApp" with appParams: {"rootTag":1}. __DEV__ === true, development-level warning are ON, performance optimizations are OFF
11-13 17:48:30.736  3138  3165 E ReactNativeJS: TypeError: undefined is not an object (evaluating 'props.carItems.length')
11-13 17:48:30.736  3138  3165 E ReactNativeJS: 
11-13 17:48:30.736  3138  3165 E ReactNativeJS: This error is located at:
11-13 17:48:30.736  3138  3165 E ReactNativeJS:     in ShoppingCartIcon (at withNavigation.js:22)
11-13 17:48:30.736  3138  3165 E ReactNativeJS:     in withNavigation(ShoppingCartIcon) (created by Connect(withNavigation(ShoppingCartIcon)))
11-13 17:48:30.736  3138  3165 E ReactNativeJS:     in Connect(withNavigation(ShoppingCartIcon)) (at navigator.js:19)
11-13 17:48:30.736  3138  3165 E ReactNativeJS:     in RCTView (at View.js:44)
11-13 17:48:30.736  3138  3165 E ReactNativeJS:     in AnimatedComponent (at Header.js:298)
11-13 17:48:30.736  3138  3165 E ReactNativeJS:     in RCTView (at View.js:44)
11-13 17:48:30.736  3138  3165 E ReactNativeJS:     in RCTView (at View.js:44)
11-13 17:48:30.736  3138  3165 E ReactNativeJS:     in RCTView (at View.js:44)
11-13 17:48:30.736  3138  3165 E ReactNativeJS:     in AnimatedComponent (at react-native-safe-area-view/index.js:134)
11-13 17:48:30.736  3138  3165 E ReactNativeJS:     in SafeView (at withOrientation.js:54)
11-13 17:48:30.736  3138  3165 E ReactNativeJS:     in withOrientation (at Header.js:433)
11-13 17:48:30.736  3138  3165 E ReactNativeJS:     in RCTView (at View.js:44)
11-13 17:48:30.736  3138  3165 E ReactNativeJS:     in AnimatedComponent (at Header.js:430)
11-13 17:48:30.736  3138  3165 E ReactNativeJS:     in Header (at withOrientation.js:30)
11-13 17:48:30.736  3138  3165 E ReactNativeJS:     in withOrientation (at StackViewLayout.js:129)
11-13 17:48:30.736  3138  3165 E ReactNativeJS:     in RCTView (at View.js:44)
11-13 17:48:30.736  3138  3165 E ReactNativeJS:     in RCTView (at View.js:44)
